analyte_name,armss_coeff,pvalue,CI,model_converged_flag,analyte_type,selection_flag
beta-hydroxyisovalerate,-0.324201022,0.042348616,"(-0.6372049274375488, -0.011197117409466606)",TRUE,untargeted,TRUE
propionylglycine,-0.711554201,0.042417077,"(-1.3987609167602058, -0.02434748533778819)",TRUE,untargeted,TRUE
diglycerol,0.436492353,0.043369445,"(0.01300108530597005, 0.859983620108967)",TRUE,untargeted,TRUE
2-methoxyacetaminophen glucuronide*,0.369826187,0.044523269,"(0.009050261634010126, 0.7306021125501452)",TRUE,untargeted,TRUE
1-(1-enyl-stearoyl)-GPE (P-18:0)*,-0.576815172,0.047039435,"(-1.1460842009799128, -0.007546143680157491)",TRUE,untargeted,TRUE
ribitol,-0.564947513,0.04801812,"(-1.1249678834860841, -0.004927141853957484)",TRUE,untargeted,TRUE
glycolithocholate sulfate*,-0.606864236,0.048214144,"(-1.2089631640470313, -0.004765307661926843)",TRUE,untargeted,TRUE
4-guanidinobutanoate,-0.377063053,0.048374983,"(-0.7514337457106273, -0.002692360586677489)",TRUE,untargeted,TRUE
saccharin,-1.00805211,0.048631038,"(-2.0100469929600386, -0.0060572266787135565)",TRUE,untargeted,FALSE
trans-urocanate,-0.260514335,0.048925794,"(-0.5198018240299711, -0.0012268464194898354)",TRUE,untargeted,TRUE
